토지고유코드,소재지,데이터기준일
4146110500101470004,경기도 용인시 처인구 유방동 147-4,2026-03-11
4146110500101570001,경기도 용인시 처인구 유방동 157-1,2026-03-11
4146110500101580000,경기도 용인시 처인구 유방동 158,2026-03-11
4146110500101600000,경기도 용인시 처인구 유방동 160,2026-03-11
4146110500101890002,경기도 용인시 처인구 유방동 189-2,2026-03-11
4146110500101540000,경기도 용인시 처인구 유방동 154,2026-03-11
4146110500101490005,경기도 용인시 처인구 유방동 149-5,2026-03-11
4146110500100420000,경기도 용인시 처인구 유방동 42,2026-03-11
4146110500100420002,경기도 용인시 처인구 유방동 42-2,2026-03-11
4146110500101560002,경기도 용인시 처인구 유방동 156-2,2026-03-11
4146110500101560001,경기도 용인시 처인구 유방동 156-1,2026-03-11
4146110500100410000,경기도 용인시 처인구 유방동 41,2026-03-11
4146110500101560003,경기도 용인시 처인구 유방동 156-3,2026-03-11
4146110500101550000,경기도 용인시 처인구 유방동 155,2026-03-11
4146110500100400001,경기도 용인시 처인구 유방동 40-1,2026-03-11
4146110500104070001,경기도 용인시 처인구 유방동 407-1,2026-03-11
4146110500104060002,경기도 용인시 처인구 유방동 406-2,2026-03-11
4146110500101910002,경기도 용인시 처인구 유방동 191-2,2026-03-11
4146110500101910003,경기도 용인시 처인구 유방동 191-3,2026-03-11
4146110500101910001,경기도 용인시 처인구 유방동 191-1,2026-03-11
