토지고유코드,소재지,데이터기준일
4146110500100760006,경기도 용인시 처인구 유방동 76-6,2026-03-11
4146110500100760003,경기도 용인시 처인구 유방동 76-3,2026-03-11
4146110500100760009,경기도 용인시 처인구 유방동 76-9,2026-03-11
4146110500100750000,경기도 용인시 처인구 유방동 75,2026-03-11
4146110500100710013,경기도 용인시 처인구 유방동 71-13,2026-03-11
4146110500100710014,경기도 용인시 처인구 유방동 71-14,2026-03-11
4146110500100710001,경기도 용인시 처인구 유방동 71-1,2026-03-11
4146110500100710012,경기도 용인시 처인구 유방동 71-12,2026-03-11
4146110500100760005,경기도 용인시 처인구 유방동 76-5,2026-03-11
4146110500100690000,경기도 용인시 처인구 유방동 69,2026-03-11
4146110500100690003,경기도 용인시 처인구 유방동 69-3,2026-03-11
4146110500100760001,경기도 용인시 처인구 유방동 76-1,2026-03-11
4146110500100740002,경기도 용인시 처인구 유방동 74-2,2026-03-11
4146110500100740001,경기도 용인시 처인구 유방동 74-1,2026-03-11
4146110500100760004,경기도 용인시 처인구 유방동 76-4,2026-03-11
4146110500103670003,경기도 용인시 처인구 유방동 367-3,2026-03-11
4146110500100770001,경기도 용인시 처인구 유방동 77-1,2026-03-11
4146110500100760008,경기도 용인시 처인구 유방동 76-8,2026-03-11
4146110500100760007,경기도 용인시 처인구 유방동 76-7,2026-03-11
4146110500100760002,경기도 용인시 처인구 유방동 76-2,2026-03-11
4146110600200140001,경기도 용인시 처인구 고림동 산14-1,2026-03-11
4146110500101390000,경기도 용인시 처인구 유방동 139,2026-03-11
4146110800102580009,경기도 용인시 처인구 운학동 258-9,2026-03-11
4146110800103360003,경기도 용인시 처인구 운학동 336-3,2026-03-11
4146110800103350005,경기도 용인시 처인구 운학동 335-5,2026-03-11
4146110800102050000,경기도 용인시 처인구 운학동 205,2026-03-11
4146110800105650004,경기도 용인시 처인구 운학동 565-4,2026-03-11
4146110800103360001,경기도 용인시 처인구 운학동 336-1,2026-03-11
4146110800102470001,경기도 용인시 처인구 운학동 247-1,2026-03-11
4146110800102470005,경기도 용인시 처인구 운학동 247-5,2026-03-11
4146110800101200000,경기도 용인시 처인구 운학동 120,2026-03-11
4146110800107010011,경기도 용인시 처인구 운학동 701-11,2026-03-11
4146110800101210001,경기도 용인시 처인구 운학동 121-1,2026-03-11
4146110800102470008,경기도 용인시 처인구 운학동 247-8,2026-03-11
4146110900102340009,경기도 용인시 처인구 호동 234-9,2026-03-11
4146110900102100000,경기도 용인시 처인구 호동 210,2026-03-11
4146110900102050005,경기도 용인시 처인구 호동 205-5,2026-03-11
4146110900102050003,경기도 용인시 처인구 호동 205-3,2026-03-11
4146110900100920005,경기도 용인시 처인구 호동 92-5,2026-03-11
4146110900100890003,경기도 용인시 처인구 호동 89-3,2026-03-11
4146110900100890002,경기도 용인시 처인구 호동 89-2,2026-03-11
4146110900100890001,경기도 용인시 처인구 호동 89-1,2026-03-11
4146110900100880001,경기도 용인시 처인구 호동 88-1,2026-03-11
4146110900100870000,경기도 용인시 처인구 호동 87,2026-03-11
4146110800104360000,경기도 용인시 처인구 운학동 436,2026-03-11
4146110900101850007,경기도 용인시 처인구 호동 185-7,2026-03-11
4146110900101850003,경기도 용인시 처인구 호동 185-3,2026-03-11
4146110900101430004,경기도 용인시 처인구 호동 143-4,2026-03-11
4146110900101430026,경기도 용인시 처인구 호동 143-26,2026-03-11
4146110900101430014,경기도 용인시 처인구 호동 143-14,2026-03-11
4146110900101430001,경기도 용인시 처인구 호동 143-1,2026-03-11
4146110900101430005,경기도 용인시 처인구 호동 143-5,2026-03-11
4146110900101430016,경기도 용인시 처인구 호동 143-16,2026-03-11
4146110900102280000,경기도 용인시 처인구 호동 228,2026-03-11
4146110900100920000,경기도 용인시 처인구 호동 92,2026-03-11
4146110900100920004,경기도 용인시 처인구 호동 92-4,2026-03-11
4146110800104250013,경기도 용인시 처인구 운학동 425-13,2026-03-11
4146110900101420001,경기도 용인시 처인구 호동 142-1,2026-03-11
4146110900103660000,경기도 용인시 처인구 호동 366,2026-03-11
4146110900101360010,경기도 용인시 처인구 호동 136-10,2026-03-11
4146110900101020002,경기도 용인시 처인구 호동 102-2,2026-03-11
4146110900101630003,경기도 용인시 처인구 호동 163-3,2026-03-11
4146110900100990005,경기도 용인시 처인구 호동 99-5,2026-03-11
4146110900200840000,경기도 용인시 처인구 호동 산84,2026-03-11
4146110900102100005,경기도 용인시 처인구 호동 210-5,2026-03-11
4146110900103230000,경기도 용인시 처인구 호동 323,2026-03-11
4146110800103710001,경기도 용인시 처인구 운학동 371-1,2026-03-11
4146110900101360009,경기도 용인시 처인구 호동 136-9,2026-03-11
4146110800102320001,경기도 용인시 처인구 운학동 232-1,2026-03-11
4146110900102100009,경기도 용인시 처인구 호동 210-9,2026-03-11
4146110900100990006,경기도 용인시 처인구 호동 99-6,2026-03-11
4146110900101430013,경기도 용인시 처인구 호동 143-13,2026-03-11
4146110900101430025,경기도 용인시 처인구 호동 143-25,2026-03-11
4146110900101800000,경기도 용인시 처인구 호동 180,2026-03-11
4146110900102100010,경기도 용인시 처인구 호동 210-10,2026-03-11
4146110900102100007,경기도 용인시 처인구 호동 210-7,2026-03-11
4146110900101630000,경기도 용인시 처인구 호동 163,2026-03-11
4146110900101050000,경기도 용인시 처인구 호동 105,2026-03-11
4146110800104710006,경기도 용인시 처인구 운학동 471-6,2026-03-11
4146110800107010010,경기도 용인시 처인구 운학동 701-10,2026-03-11
4146110800107010007,경기도 용인시 처인구 운학동 701-7,2026-03-11
4146110800107010008,경기도 용인시 처인구 운학동 701-8,2026-03-11
4146110800107010023,경기도 용인시 처인구 운학동 701-23,2026-03-11
4146110800107010022,경기도 용인시 처인구 운학동 701-22,2026-03-11
4146110800107010026,경기도 용인시 처인구 운학동 701-26,2026-03-11
4146110800107010025,경기도 용인시 처인구 운학동 701-25,2026-03-11
4146110800105180000,경기도 용인시 처인구 운학동 518,2026-03-11
4146110800107010012,경기도 용인시 처인구 운학동 701-12,2026-03-11
4146110800107010019,경기도 용인시 처인구 운학동 701-19,2026-03-11
4146110800107010014,경기도 용인시 처인구 운학동 701-14,2026-03-11
4146110800107010017,경기도 용인시 처인구 운학동 701-17,2026-03-11
4146110800107010013,경기도 용인시 처인구 운학동 701-13,2026-03-11
4146110800107010015,경기도 용인시 처인구 운학동 701-15,2026-03-11
4146110800105450002,경기도 용인시 처인구 운학동 545-2,2026-03-11
4146110800105770004,경기도 용인시 처인구 운학동 577-4,2026-03-11
4146110800107010039,경기도 용인시 처인구 운학동 701-39,2026-03-11
4146110800107010040,경기도 용인시 처인구 운학동 701-40,2026-03-11
4146110800107010016,경기도 용인시 처인구 운학동 701-16,2026-03-11
4146110800107010030,경기도 용인시 처인구 운학동 701-30,2026-03-11
4146110800107010031,경기도 용인시 처인구 운학동 701-31,2026-03-11
4146110800107010032,경기도 용인시 처인구 운학동 701-32,2026-03-11
4146110800107010034,경기도 용인시 처인구 운학동 701-34,2026-03-11
4146110800107010033,경기도 용인시 처인구 운학동 701-33,2026-03-11
4146110800107010035,경기도 용인시 처인구 운학동 701-35,2026-03-11
4146110800107010036,경기도 용인시 처인구 운학동 701-36,2026-03-11
4146110800107010037,경기도 용인시 처인구 운학동 701-37,2026-03-11
4146110800105750009,경기도 용인시 처인구 운학동 575-9,2026-03-11
4146110800105750008,경기도 용인시 처인구 운학동 575-8,2026-03-11
4146110800105770002,경기도 용인시 처인구 운학동 577-2,2026-03-11
4146110800105770005,경기도 용인시 처인구 운학동 577-5,2026-03-11
4146110800105770003,경기도 용인시 처인구 운학동 577-3,2026-03-11
4146110800105770006,경기도 용인시 처인구 운학동 577-6,2026-03-11
4146110800105920001,경기도 용인시 처인구 운학동 592-1,2026-03-11
4146110800105920012,경기도 용인시 처인구 운학동 592-12,2026-03-11
4146110800104970000,경기도 용인시 처인구 운학동 497,2026-03-11
4146110800105580006,경기도 용인시 처인구 운학동 558-6,2026-03-11
4146110800105580002,경기도 용인시 처인구 운학동 558-2,2026-03-11
4146110800105580010,경기도 용인시 처인구 운학동 558-10,2026-03-11
4146110800105170000,경기도 용인시 처인구 운학동 517,2026-03-11
4146110800104350008,경기도 용인시 처인구 운학동 435-8,2026-03-11
4146110800104890003,경기도 용인시 처인구 운학동 489-3,2026-03-11
4146110800104910001,경기도 용인시 처인구 운학동 491-1,2026-03-11
4146110800104900000,경기도 용인시 처인구 운학동 490,2026-03-11
4146110800104910002,경기도 용인시 처인구 운학동 491-2,2026-03-11
4146110800104250004,경기도 용인시 처인구 운학동 425-4,2026-03-11
4146110800104250006,경기도 용인시 처인구 운학동 425-6,2026-03-11
4146110800104250009,경기도 용인시 처인구 운학동 425-9,2026-03-11
4146110800104250017,경기도 용인시 처인구 운학동 425-17,2026-03-11
4146110900100870001,경기도 용인시 처인구 호동 87-1,2026-03-11
4146110800105650002,경기도 용인시 처인구 운학동 565-2,2026-03-11
4146110800106360001,경기도 용인시 처인구 운학동 636-1,2026-03-11
4146110800106360012,경기도 용인시 처인구 운학동 636-12,2026-03-11
4146110800106360014,경기도 용인시 처인구 운학동 636-14,2026-03-11
4146110800105670003,경기도 용인시 처인구 운학동 567-3,2026-03-11
4146111000103420000,경기도 용인시 처인구 해곡동 342,2026-03-11
4146111000101190002,경기도 용인시 처인구 해곡동 119-2,2026-03-11
4146111000101190003,경기도 용인시 처인구 해곡동 119-3,2026-03-11
4146111000103080007,경기도 용인시 처인구 해곡동 308-7,2026-03-11
4146110900102100008,경기도 용인시 처인구 호동 210-8,2026-03-11
4146111000103080001,경기도 용인시 처인구 해곡동 308-1,2026-03-11
4146111000101180000,경기도 용인시 처인구 해곡동 118,2026-03-11
4146111000101200003,경기도 용인시 처인구 해곡동 120-3,2026-03-11
4146111000101220000,경기도 용인시 처인구 해곡동 122,2026-03-11
4146111000101220002,경기도 용인시 처인구 해곡동 122-2,2026-03-11
4146111000103520006,경기도 용인시 처인구 해곡동 352-6,2026-03-11
4146111000103520011,경기도 용인시 처인구 해곡동 352-11,2026-03-11
4146111000104300001,경기도 용인시 처인구 해곡동 430-1,2026-03-11
4146111000101240000,경기도 용인시 처인구 해곡동 124,2026-03-11
4146111000103530007,경기도 용인시 처인구 해곡동 353-7,2026-03-11
4146111000103540004,경기도 용인시 처인구 해곡동 354-4,2026-03-11
4146111000103150000,경기도 용인시 처인구 해곡동 315,2026-03-11
4146111000103150016,경기도 용인시 처인구 해곡동 315-16,2026-03-11
4146111000101430002,경기도 용인시 처인구 해곡동 143-2,2026-03-11
4146110900104200002,경기도 용인시 처인구 호동 420-2,2026-03-11
4146111000103150013,경기도 용인시 처인구 해곡동 315-13,2026-03-11
4146111000103150008,경기도 용인시 처인구 해곡동 315-8,2026-03-11
4146111000103150012,경기도 용인시 처인구 해곡동 315-12,2026-03-11
4146111000101430001,경기도 용인시 처인구 해곡동 143-1,2026-03-11
4146110900102100004,경기도 용인시 처인구 호동 210-4,2026-03-11
4146110900103480014,경기도 용인시 처인구 호동 348-14,2026-03-11
4146110900103480012,경기도 용인시 처인구 호동 348-12,2026-03-11
4146110900101950003,경기도 용인시 처인구 호동 195-3,2026-03-11
4146110900101940000,경기도 용인시 처인구 호동 194,2026-03-11
4146110900102850000,경기도 용인시 처인구 호동 285,2026-03-11
4146125322106540014,경기도 용인시 처인구 모현면 갈담리 654-14,2026-03-11
4146111000102520005,경기도 용인시 처인구 해곡동 252-5,2026-03-11
4146110900102090000,경기도 용인시 처인구 호동 209,2026-03-11
4146110900101990000,경기도 용인시 처인구 호동 199,2026-03-11
4146110900101850009,경기도 용인시 처인구 호동 185-9,2026-03-11
4146110900100890000,경기도 용인시 처인구 호동 89,2026-03-11
4146110900100930011,경기도 용인시 처인구 호동 93-11,2026-03-11
4146110900100930014,경기도 용인시 처인구 호동 93-14,2026-03-11
4146110900100920002,경기도 용인시 처인구 호동 92-2,2026-03-11
4146110900100930007,경기도 용인시 처인구 호동 93-7,2026-03-11
4146110900102740000,경기도 용인시 처인구 호동 274,2026-03-11
4146110900104220003,경기도 용인시 처인구 호동 422-3,2026-03-11
4146110900104220001,경기도 용인시 처인구 호동 422-1,2026-03-11
4146110900100990004,경기도 용인시 처인구 호동 99-4,2026-03-11
4146125322106450007,경기도 용인시 처인구 모현면 갈담리 645-7,2026-03-11
4146110900100990014,경기도 용인시 처인구 호동 99-14,2026-03-11
4146110900100930016,경기도 용인시 처인구 호동 93-16,2026-03-11
4146110900102050008,경기도 용인시 처인구 호동 205-8,2026-03-11
4146110900102020012,경기도 용인시 처인구 호동 202-12,2026-03-11
4146110900102020009,경기도 용인시 처인구 호동 202-9,2026-03-11
4146110900100930015,경기도 용인시 처인구 호동 93-15,2026-03-11
4146111000101250000,경기도 용인시 처인구 해곡동 125,2026-03-11
4146110900101360004,경기도 용인시 처인구 호동 136-4,2026-03-11
4146110900102270000,경기도 용인시 처인구 호동 227,2026-03-11
4146110900102250005,경기도 용인시 처인구 호동 225-5,2026-03-11
4146110900101950000,경기도 용인시 처인구 호동 195,2026-03-11
4146110900101950004,경기도 용인시 처인구 호동 195-4,2026-03-11
4182032527104790016,경기도 가평군 청평면 삼회리 479-16,2026-03-11
4146111000103530003,경기도 용인시 처인구 해곡동 353-3,2026-03-11
4146111000103540001,경기도 용인시 처인구 해곡동 354-1,2026-03-11
4146110900101360002,경기도 용인시 처인구 호동 136-2,2026-03-11
4146110900101330000,경기도 용인시 처인구 호동 133,2026-03-11
4146110900101850002,경기도 용인시 처인구 호동 185-2,2026-03-11
4146110900102050002,경기도 용인시 처인구 호동 205-2,2026-03-11
4146110900102050011,경기도 용인시 처인구 호동 205-11,2026-03-11
4146110900102050010,경기도 용인시 처인구 호동 205-10,2026-03-11
4146110900102050004,경기도 용인시 처인구 호동 205-4,2026-03-11
4146110900102020002,경기도 용인시 처인구 호동 202-2,2026-03-11
4146111000103520000,경기도 용인시 처인구 해곡동 352,2026-03-11
4146110900100620002,경기도 용인시 처인구 호동 62-2,2026-03-11
4146111000103420001,경기도 용인시 처인구 해곡동 342-1,2026-03-11
4146110900102100006,경기도 용인시 처인구 호동 210-6,2026-03-11
4146110900102100001,경기도 용인시 처인구 호동 210-1,2026-03-11
4146110900102090001,경기도 용인시 처인구 호동 209-1,2026-03-11
4146110900102080000,경기도 용인시 처인구 호동 208,2026-03-11
4146110900102100003,경기도 용인시 처인구 호동 210-3,2026-03-11
4146110900102090002,경기도 용인시 처인구 호동 209-2,2026-03-11
4146111000101200004,경기도 용인시 처인구 해곡동 120-4,2026-03-11
4146125021104100010,경기도 용인시 처인구 포곡읍 삼계리 410-10,2026-03-11
4146111000102560000,경기도 용인시 처인구 해곡동 256,2026-03-11
4146125323104590031,경기도 용인시 처인구 모현면 초부리 459-31,2026-03-11
4146125029104430001,경기도 용인시 처인구 포곡읍 신원리 443-1,2026-03-11
4146125029104410003,경기도 용인시 처인구 포곡읍 신원리 441-3,2026-03-11
4146125322106540016,경기도 용인시 처인구 모현면 갈담리 654-16,2026-03-11
4146125029104430000,경기도 용인시 처인구 포곡읍 신원리 443,2026-03-11
4146125029104410008,경기도 용인시 처인구 포곡읍 신원리 441-8,2026-03-11
4146125029104410009,경기도 용인시 처인구 포곡읍 신원리 441-9,2026-03-11
4146125029104430002,경기도 용인시 처인구 포곡읍 신원리 443-2,2026-03-11
4146125322106520006,경기도 용인시 처인구 모현면 갈담리 652-6,2026-03-11
4146125322106540025,경기도 용인시 처인구 모현면 갈담리 654-25,2026-03-11
4146125322106540010,경기도 용인시 처인구 모현면 갈담리 654-10,2026-03-11
4146125322106520001,경기도 용인시 처인구 모현면 갈담리 652-1,2026-03-11
4146125322106520003,경기도 용인시 처인구 모현면 갈담리 652-3,2026-03-11
4146125322106450004,경기도 용인시 처인구 모현면 갈담리 645-4,2026-03-11
4146125322106540022,경기도 용인시 처인구 모현면 갈담리 654-22,2026-03-11
4146125322106560001,경기도 용인시 처인구 모현면 갈담리 656-1,2026-03-11
4146125322106540009,경기도 용인시 처인구 모현면 갈담리 654-9,2026-03-11
4146125322106440001,경기도 용인시 처인구 모현면 갈담리 644-1,2026-03-11
4146125322106540008,경기도 용인시 처인구 모현면 갈담리 654-8,2026-03-11
4146125323104570000,경기도 용인시 처인구 모현면 초부리 457,2026-03-11
4146110900200540001,경기도 용인시 처인구 호동 산54-1,2026-03-11
4146125323104590004,경기도 용인시 처인구 모현면 초부리 459-4,2026-03-11
4146125323104580001,경기도 용인시 처인구 모현면 초부리 458-1,2026-03-11
4146110800107010024,경기도 용인시 처인구 운학동 701-24,2026-03-11
4146110900102050009,경기도 용인시 처인구 호동 205-9,2026-03-11
4146110900102050007,경기도 용인시 처인구 호동 205-7,2026-03-11
4146110800107010028,경기도 용인시 처인구 운학동 701-28,2026-03-11
4146125322106480024,경기도 용인시 처인구 모현면 갈담리 648-24,2026-03-11
4146125322106500001,경기도 용인시 처인구 모현면 갈담리 650-1,2026-03-11
4146125322106510000,경기도 용인시 처인구 모현면 갈담리 651,2026-03-11
4146125322106510001,경기도 용인시 처인구 모현면 갈담리 651-1,2026-03-11
4146125322106510003,경기도 용인시 처인구 모현면 갈담리 651-3,2026-03-11
4146125322106510004,경기도 용인시 처인구 모현면 갈담리 651-4,2026-03-11
4146125322106510005,경기도 용인시 처인구 모현면 갈담리 651-5,2026-03-11
4146136029100090004,경기도 용인시 처인구 양지면 주북리 9-4,2026-03-11
4146136029100090003,경기도 용인시 처인구 양지면 주북리 9-3,2026-03-11
4146136029100090001,경기도 용인시 처인구 양지면 주북리 9-1,2026-03-11
4146136029100390002,경기도 용인시 처인구 양지면 주북리 39-2,2026-03-11
4146125322106480008,경기도 용인시 처인구 모현면 갈담리 648-8,2026-03-11
4146125322106540015,경기도 용인시 처인구 모현면 갈담리 654-15,2026-03-11
4146125322106480009,경기도 용인시 처인구 모현면 갈담리 648-9,2026-03-11
4146125322106480017,경기도 용인시 처인구 모현면 갈담리 648-17,2026-03-11
4146125322106480018,경기도 용인시 처인구 모현면 갈담리 648-18,2026-03-11
4146125322106540001,경기도 용인시 처인구 모현면 갈담리 654-1,2026-03-11
4146125322106540002,경기도 용인시 처인구 모현면 갈담리 654-2,2026-03-11
4146125322106540003,경기도 용인시 처인구 모현면 갈담리 654-3,2026-03-11
4146125322106540007,경기도 용인시 처인구 모현면 갈담리 654-7,2026-03-11
4146125322106540011,경기도 용인시 처인구 모현면 갈담리 654-11,2026-03-11
4146125322106190001,경기도 용인시 처인구 모현면 갈담리 619-1,2026-03-11
4146125322106190002,경기도 용인시 처인구 모현면 갈담리 619-2,2026-03-11
4146125322106200001,경기도 용인시 처인구 모현면 갈담리 620-1,2026-03-11
4146125322106540012,경기도 용인시 처인구 모현면 갈담리 654-12,2026-03-11
4146125322106540013,경기도 용인시 처인구 모현면 갈담리 654-13,2026-03-11
4146125322106540017,경기도 용인시 처인구 모현면 갈담리 654-17,2026-03-11
4146125322106540018,경기도 용인시 처인구 모현면 갈담리 654-18,2026-03-11
4146125322106540020,경기도 용인시 처인구 모현면 갈담리 654-20,2026-03-11
4146125322106540021,경기도 용인시 처인구 모현면 갈담리 654-21,2026-03-11
4146125322106540023,경기도 용인시 처인구 모현면 갈담리 654-23,2026-03-11
4146125322106540024,경기도 용인시 처인구 모현면 갈담리 654-24,2026-03-11
4146125322106550000,경기도 용인시 처인구 모현면 갈담리 655,2026-03-11
4146125322106560002,경기도 용인시 처인구 모현면 갈담리 656-2,2026-03-11
4146125322106560003,경기도 용인시 처인구 모현면 갈담리 656-3,2026-03-11
4146125322106450001,경기도 용인시 처인구 모현면 갈담리 645-1,2026-03-11
4146125322106450002,경기도 용인시 처인구 모현면 갈담리 645-2,2026-03-11
4146125322106450003,경기도 용인시 처인구 모현면 갈담리 645-3,2026-03-11
4146125322106450005,경기도 용인시 처인구 모현면 갈담리 645-5,2026-03-11
4146125322106450006,경기도 용인시 처인구 모현면 갈담리 645-6,2026-03-11
4146125322106450008,경기도 용인시 처인구 모현면 갈담리 645-8,2026-03-11
4146125322106450009,경기도 용인시 처인구 모현면 갈담리 645-9,2026-03-11
4146125322106470001,경기도 용인시 처인구 모현면 갈담리 647-1,2026-03-11
4146125322106470002,경기도 용인시 처인구 모현면 갈담리 647-2,2026-03-11
4146125322106470003,경기도 용인시 처인구 모현면 갈담리 647-3,2026-03-11
4146125322106470004,경기도 용인시 처인구 모현면 갈담리 647-4,2026-03-11
4146125322106480004,경기도 용인시 처인구 모현면 갈담리 648-4,2026-03-11
4146125322106480005,경기도 용인시 처인구 모현면 갈담리 648-5,2026-03-11
4146125322106480006,경기도 용인시 처인구 모현면 갈담리 648-6,2026-03-11
4146125323104580004,경기도 용인시 처인구 모현면 초부리 458-4,2026-03-11
4146110800107010027,경기도 용인시 처인구 운학동 701-27,2026-03-11
4146125028100510007,경기도 용인시 처인구 포곡읍 유운리 51-7,2026-03-11
4183025022104850007,경기도 양평군 양평읍 오빈리 485-7,2026-03-11
4146125322106440003,경기도 용인시 처인구 모현면 갈담리 644-3,2026-03-11
4146125021104100002,경기도 용인시 처인구 포곡읍 삼계리 410-2,2026-03-11
4146125021104110006,경기도 용인시 처인구 포곡읍 삼계리 411-6,2026-03-11
4146110800102020000,경기도 용인시 처인구 운학동 202,2026-03-11
4146110900101360001,경기도 용인시 처인구 호동 136-1,2026-03-11
4146110900100620001,경기도 용인시 처인구 호동 62-1,2026-03-11
4146125028100510008,경기도 용인시 처인구 포곡읍 유운리 51-8,2026-03-11
4146125028100530002,경기도 용인시 처인구 포곡읍 유운리 53-2,2026-03-11
4146125028100530001,경기도 용인시 처인구 포곡읍 유운리 53-1,2026-03-11
4146125028100510009,경기도 용인시 처인구 포곡읍 유운리 51-9,2026-03-11
4146125028100530000,경기도 용인시 처인구 포곡읍 유운리 53,2026-03-11
4146125028100510004,경기도 용인시 처인구 포곡읍 유운리 51-4,2026-03-11
4146125028100510005,경기도 용인시 처인구 포곡읍 유운리 51-5,2026-03-11
4146125028100510006,경기도 용인시 처인구 포곡읍 유운리 51-6,2026-03-11
4146110900102050006,경기도 용인시 처인구 호동 205-6,2026-03-11
